id,group,interventionMessage,walkMessage,gif,timeOfDay
1,gif-a,"When you’re feeling down, moving your body like this buddy here will help you feel great again! :)",Can you go for a short walk this afternoon?,happy-dog-1,Afternoon
2,gif-a,"One step, two step. Just keep moving! ",Can you go for a short walk this afternoon?,penguin-walk-3,Afternoon
3,gif-a,A walk will make you feel pawfect! Let's go! :D,Can you go for a short walk this afternoon?,happy-dog-4,Afternoon
4,gif-a,What are you waiting for? Let's go for a walk! ,Can you go for a short walk this afternoon?,happy-dog-5,Afternoon
5,gif-a,Been indoors all day? A fresh air will freshen up your day!,Can you go for a short walk this afternoon?,winter-weasel-6,Afternoon
6,gif-a,Feeling stiff? You can get your body loosened up like this dancing grizzly!,Can you go for a short walk this afternoon?,dancing-bear-7,Afternoon
7,gif-a,Moving your body like this will give you joy! Let's get it going!,Can you go for a short walk this afternoon?,dancing-cat-8,Afternoon
8,gif-a,Want to feel strong? Let's go out and get walking!,Can you go for a short walk this afternoon?,squirrel-pushup-9,Afternoon
9,gif-a,"C'mon, let's go strolling for some energy!",Can you go for a short walk this afternoon?,penguin-walk-10,Afternoon
10,gif-a,A walk will wash your stress away! Gwak!,Can you go for a short walk this afternoon?,running-chick-11,Afternoon
11,gif-a,Put your shoes on and get strolling!,Can you go for a short walk this afternoon?,walking-elephant-12,Afternoon
12,gif-a,Being cooped up indoors is no good. Let's get your body moving!,Can you go for a short walk this afternoon?,cat-dog-16,Afternoon
13,gif-a,I'm ready for some walk. Are you ready?,How about a short walk this afternoon?,ready-cat-15,Afternoon
14,gif-a,Just a reminder that you rock!,How about thanking your body with a short walk?,dancing-bear-7,Afternoon
15,gif-a,Don't forget to take a break! Let's go out for a short walk to help fight your fatigue.,Can you go for a short walk this afternoon?,squirrel-pushup-9,Afternoon
16,gif-a,Taken a walk break yet? Even a 5-minute stroll can energize you for the rest of the day!,Can you go for a short walk this afternoon?,happy-dog-4,Afternoon
17,gif-a,Need to clear your head? Let's get out there to freshen up your mind!,How about an afternoon walk?,penguin-walk-3,Afternoon
18,gif-a,"Wiggle your toes, our bodies are made to move!",Can you take a short walk break this afternoon?,happy-dog-1,Afternoon
19,gif-a,Need to organize your thoughts? A short walk could help!,Can you go for a short walk this afternoon?,penguin-walk-3,Afternoon
20,gif-a,"Oof, stiff body is no good!",How about a short walk outside this afternoon?,hamster-wheel-2,Afternoon
21,gif-a,Had a long day? How about a brief walk outside as a way to relax and recharge?,Can you make it happen this afternoon?,ready-cat-15,Afternoon
22,gif-a,Had a long day? ,How about a peaceful walk this afternoon?,penguin-walk-3,Afternoon
23,gif-a,"Happy? Tired? Anxious? Whatever your mood, a short stroll can make it better!",Can you go for a short walk this afternoon?,dancing-cat-8,Afternoon
24,gif-a,A short walk can liven up your day!,Can you make it happen this afternoon?,hamster-wheel-2,Afternoon
25,gif-a,Want to add joy to your day? ,How about a short walk outside this afternoon?,jumping-goldie-14,Afternoon
26,gif-a,A step closer to a healthy body and mind starts now!,Can you go for a short walk this afternoon?,walking-elephant-12,Afternoon
27,gif-a,"Hey there, you could use some energy boost.",How about a short walk this afternoon?,cat-dog-16,Afternoon
28,gif-a,I'm ready for some walk. Are you ready?,Can you make it happen this afternoon?,smiling-goldie-17,Afternoon
29,gif-a,"Cooped up indoors all day? Come on, let's go!",How about a short walk this afternoon?,cat-dog-16,Afternoon
30,gif-a,Consistency is key to a healthy body and mind!,Can you go for a short walk this afternoon?,lets-go-dog-18,Afternoon
31,gif-a,Feeling stressed? Come outside for some fresh air!,Can you go for a short walk this afternoon?,come-here-bear-19,Afternoon
32,gif-a,"When you’re feeling down, warming up your body can help you recover!",Can you go for a short walk this afternoon?,squirrel-pushup-9,Afternoon
33,gif-a,Self care is important for a healthy body and mind.,How about a walk this afternoon?,happy-dog-5,Afternoon
34,gif-a,Let's get moving one step at a time.,Can you make it happen this afternoon?,dancing-cat-8,Afternoon
35,gif-a,Have you been sitting for a while?,How about a walk this afternoon?,cat-dog-16,Afternoon
36,gif-a,Just a reminder that you're doing great!,How about a short walk this afternoon?,trampoline-dog-20,Afternoon
37,,,,,
38,,,,,
39,,,,,
40,,,,,
41,,,,,
42,,,,,
43,,,,,
44,,,,,
45,,,,,
46,,,,,
47,,,,,
48,,,,,
49,,,,,
50,,,,,