id,group,interventionMessage
1,goal,Good morning! Your goal for today is [goal] steps. Imagine the fresh air and feel the energy as you move â€“ enjoy every step!
2,goal,Rise and shine! You've got a goal of [goal] steps today. Every movement you take is a step toward feeling more alive and vibrant. Letâ€™s get going!
3,goal,"Your walk goal today is [goal] steps. Embrace the opportunity to move, breathe, and enjoy how great it feels to hit the goal!"
4,goal,Letâ€™s start this day on a high note! [goal] steps are calling your name! Let each minute of walking bring you energy and happiness. Let's make it an active day!
5,goal,"Happy morning! Your goal for today is [goal] steps. Take it as a chance to connect with your surroundings, enjoy the journey, and feel the boost with every movement. Have fun!"
6,goal,"Hello, [name]! ğŸŒ Your goal for today is [goal] steps. Every move counts, and allow the walks to make you feel great!"
7,goal,"Hey, [name]! ğŸŒˆ Ready for a day full of movement? Your goal is [goal] steps. Take it step by step and have fun!"
8,goal,"Wake up to a new adventure, [name]! ğŸ„ Todayâ€™s goal is [goal] steps. Let every moment of walks bring a smile to your face and fulfillment to your day."
9,goal,"Good morning ğŸŒ Sunshine and [name] ğŸŒ¼ !  Todayâ€™s goal is [goal] steps. Think of how amazing it feels to move your body, feel the energy flowing, and enjoy every bit of your walk!"
10,goal,Ready for some action ğŸ¾ ? Todayâ€™s goal is [goal] steps. Let it be your moment of joy!
11,goal,Morning vibes! ğŸŒ» Your goal is [goal] steps. Itâ€™s your time to shine through walking.
12,goal,"Your goal for today is [goal] steps. Feel the joy of being active. Remember, itâ€™s all about enjoying the process and the positive vibes!"
13,goal,"Morning, [name] ğŸŒˆ ! Your target today is [goal] steps. Every moment of movement is a step toward feeling happier and healthier! ğŸ¶"