id,group,interventionMessage,walkMessage,timeOfDay
1,nongif-a,"When you’re feeling down, moving your body will help you feel great again! :)",Can you go for a short walk this afternoon?,Afternoon
2,nongif-a,"One step, two step. Just keep moving! ",Can you go for a short walk this afternoon?,Afternoon
3,nongif-a,A walk will make you feel great!,Can you go for a short walk this afternoon?,Afternoon
4,nongif-a,What are you waiting for? Let's go for a walk!,Can you go for a short walk this afternoon?,Afternoon
5,nongif-a,Been indoors all day? A fresh air will freshen up your day!,Can you go for a short walk this afternoon?,Afternoon
6,nongif-a,Feeling stiff? You can get your body loosened up with a short walk.,Can you go for a short walk this afternoon?,Afternoon
7,nongif-a,Moving your body will give you joy!,Can you go for a short walk this afternoon?,Afternoon
8,nongif-a,Want to feel strong? Go out and get walking!,Can you go for a short walk this afternoon?,Afternoon
9,nongif-a,"C'mon, let's get strolling for some energy!",Can you go for a short walk this afternoon?,Afternoon
10,nongif-a,A walk can help wash your stress away!,Can you go for a short walk this afternoon?,Afternoon
11,nongif-a,Put your shoes on and get strolling!,Can you go for a short walk this afternoon?,Afternoon
12,nongif-a,Being cooped up indoors is no good. ,Can you go for a short walk this afternoon?,Afternoon
13,nongif-a,Are you ready for a walk?,How about a short walk this afternoon?,Afternoon
14,nongif-a,Just a reminder that you rock!,How about thanking your body with a short walk?,Afternoon
15,nongif-a,Don't forget to take a break! A walk can help combat your fatigue. ,Can you go for a short walk this afternoon?,Afternoon
16,nongif-a,Taken a walk break yet? Even a 5-minute stroll can energize you for the rest of the day!,Can you go for a short walk this afternoon?,Afternoon
17,nongif-a,Need to clear your head? Going out for a walk can freshen up your mind!,How about an afternoon walk?,Afternoon
18,nongif-a,"Wiggle your toes, our bodies are made to move!",Can you take a short walk break this afternoon?,Afternoon
19,nongif-a,Need to organize your thoughts? A short walk could help!,Can you go for a short walk this afternoon?,Afternoon
20,nongif-a,"Ouch, stiff body is no good! ",How about a short walk outside this afternoon?,Afternoon
21,nongif-a,Had a long day? How about a brief walk outside as a way to relax and recharge?,Can you make it happen this afternoon?,Afternoon
22,nongif-a,Had a long day?,How about a peaceful walk this afternoon?,Afternoon
23,nongif-a,"Happy? Tired? Anxious? Whatever your mood, a short stroll can make it better!",Can you go for a short walk this afternoon?,Afternoon
24,nongif-a,A short walk can liven up your day!,Can you make it happen this afternoon?,Afternoon
25,nongif-a,Want to add joy to your day? ,How about a short walk outside this afternoon?,Afternoon
26,nongif-a,A step closer to a healthy body and mind starts now!,Can you go for a short walk this afternoon?,Afternoon
27,nongif-a,Need some energy boost?,How about a short walk this afternoon?,Afternoon
28,nongif-a,Are you ready for some walk?,Can you make it happen this afternoon?,Afternoon
29,nongif-a,Cooped up indoors all day?,How about a short walk this afternoon?,Afternoon
30,nongif-a,Consistency is key to a healthy body and mind.,Can you go for a short walk this afternoon?,Afternoon
31,nongif-a,Feeling stressed? Go outside for some fresh air!,Can you go for a short walk this afternoon?,Afternoon
32,nongif-a,"When you’re feeling down, warming up your body can help you recover!",Can you go for a short walk this afternoon?,Afternoon
33,nongif-a,Self care is important for a healthy body and mind.,How about a walk this afternoon?,Afternoon
34,nongif-a,Let's get moving one step at a time.,Can you make it happen this afternoon?,Afternoon
35,nongif-a,Have you been sitting for a while?,How about a walk this afternoon?,Afternoon
36,nongif-a,Just a reminder that you're doing great!,How about a short walk this afternoon?,Afternoon
37,,,,
38,,,,
39,,,,
40,,,,
41,,,,
42,,,,
43,,,,
44,,,,
45,,,,
46,,,,
47,,,,
48,,,,
49,,,,
50,,,,